Name,Artist,Duration,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Valence
I Fought the Law - Single Version,The Bobby Fuller Four,2:18,0.105,0.593,0.804,2.22E-06,0.047,-5.497,0.0319,148.959,0.962
Comfortably Numb - 2011 Remastered Version,Pink Floyd,6:19,0.153,0.479,0.309,0.22,0.134,-14.751,0.0299,127.155,0.182
Don't Worry Baby - Remastered 2001,The Beach Boys,2:48,0.295,0.543,0.325,0,0.0932,-14.398,0.0313,121.238,0.886
Raspberry Beret,Prince,3:35,0.21,0.761,0.67,4.26E-04,0.0685,-12.759,0.0438,120.752,0.91
September Gurls (Studio Rehearsal),Big Star,3:01,0.00257,0.405,0.862,0.128,0.341,-10.775,0.0506,120.586,0.639
Kashmir - 1990 Remaster,Led Zeppelin,8:28,0.488,0.48,0.536,4.22E-05,0.155,-11.166,0.0427,80.617,0.581
Can't Buy Me Love - Remastered 2015,The Beatles,2:11,0.118,0.426,0.76,0,0.325,-4.082,0.0414,171.838,0.955
Love Will Tear Us Apart,Joy Division,3:26,5.24E-05,0.443,0.956,0.825,0.135,-6.198,0.0511,146.754,0.909
Hey Ya! - Radio Mix / Club Mix,Outkast,3:55,0.0588,0.719,0.967,2.49E-04,0.206,-2.435,0.0552,79.505,0.964
Green Onions,Booker T. & the M.G.'s,2:56,0.767,0.816,0.514,0.949,0.0899,-8.741,0.0339,136.837,0.912
Save the Last Dance for Me,The Drifters,2:34,0.614,0.54,0.53,0,0.198,-10.583,0.0361,143.453,0.896
The Thrill Is Gone,B.B. King,5:28,0.656,0.573,0.456,0.671,0.0772,-8.251,0.0244,90.746,0.585
Desolation Row,Bob Dylan,11:21,0.673,0.432,0.605,0,0.129,-6.941,0.0306,109.227,0.647
I Never Loved A Man [The Way I Love You],Aretha Franklin,2:44,0.389,0.715,0.235,0.0904,0.119,-12.585,0.0439,135.301,0.717
Back In Black,Joe Lynn Turner,4:30,2.00E-04,0.319,0.893,0.0914,0.109,-3.343,0.0489,92.849,0.37
Who'll Stop The Rain,Creedence Clearwater Revival,2:27,0.035,0.622,0.822,1.28E-04,0.0684,-6.982,0.0316,123.326,0.691
Stayin' Alive - 2007 Remastered Version Saturday Night Fever,Bee Gees,4:45,0.0291,0.704,0.834,0.00492,0.147,-7.131,0.0358,103.555,0.923
Knockin' On Heaven's Door,Bob Dylan,2:32,0.331,0.517,0.473,0.447,0.105,-10.212,0.0289,140.287,0.299
Free Bird,Lynyrd Skynyrd,9:10,0.00683,0.191,0.838,0.00417,0.062,-7.417,0.056,151.665,0.378
Wichita Lineman - Remastered 2001,Glen Campbell,3:06,0.326,0.192,0.392,1.99E-04,0.248,-11.667,0.0328,172.312,0.391
There Goes My Baby - Single Version; 2019 Remaster,The Drifters,2:10,0.518,0.399,0.679,0,0.625,-3.403,0.0329,63.993,0.614
Peggy Sue - Single Version,Buddy Holly,2:29,0.904,0.684,0.392,3.92E-05,0.127,-9.484,0.0349,149.264,0.57
Everyday People,Sly & The Family Stone,2:20,0.308,0.803,0.527,0.0132,0.0873,-11.797,0.0325,114.068,0.663
Maybe,The Chantels,2:54,0.751,0.489,0.415,6.53E-04,0.14,-7.466,0.0268,104.207,0.357
Sweet Child O' Mine,Guns N' Roses,5:56,0.0872,0.45,0.904,0.108,0.0997,-7.736,0.046,125.072,0.689
